,budget,popularity,vote_count,top_cast_avg_rating,director_encoded,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,title,genres,director,top_cast,release_date,vote_average,revenue,budget_log,revenue_log,profit_ratio
3829,3500000,17.002623,363,6.271936339522531,1602,1997,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Full Monty,['Comedy'],Peter Cattaneo,['Unknown'],1997-08-13,6.8,257850122,15.068273812173887,19.367889055482653,72.67146342857143
3830,3500000,46.116885,1074,7.099999999999999,917,1980,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Airplane!,['Comedy'],Jerry Zucker,"['Robert Hays', 'Julie Hagerty', 'Kareem Abdul-Jabbar']",1980-07-02,7.1,83453539,15.068273812173887,18.239800627783534,22.843868285714287
3831,5000000,1.398981,11,5.222222222222222,1154,2015,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Chain of Command,"['Thriller', 'Adventure', 'Action']",Kevin Carraway,"['Michael Jai White', 'Steve Austin', 'Max Ryan']",2015-08-30,5.3,0,15.424948670398354,0.0,-1.0
3832,3500000,25.5748,503,6.271936339522531,602,1995,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,['Comedy'],F. Gary Gray,['Unknown'],1995-04-26,7.0,28215918,15.068273812173887,17.155396880182252,7.061690857142857
3833,3500000,3.418871,173,6.271936339522531,35,1993,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Menace II Society,"['Drama', 'Action', 'Crime']",Albert Hughes,['Unknown'],1993-05-26,7.2,27900000,15.068273812173887,17.14413728263389,6.9714285714285715
3834,3500000,10.729884,129,6.271936339522531,1391,1987,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Creepshow 2,['Horror'],Michael Gornick,['Unknown'],1987-05-01,5.9,14000000,15.068273812173887,16.454567959008102,3.0
3835,3716946,2.676535,47,6.271936339522531,1837,1970,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,The Ballad of Cable Hogue,"['Action', 'Comedy', 'Western']",Sam Peckinpah,['Unknown'],1970-05-13,6.9,5000000,15.128413190366862,15.424948670398354,0.3451903794136369
3836,3500000,7.821438,82,6.271936339522531,1694,1967,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,In Cold Blood,"['Crime', 'Drama']",Richard Brooks,['Unknown'],1967-12-14,7.4,13007551,15.068273812173887,16.38104066983224,2.716443142857143
3837,3500000,3.281509,46,6.271936339522531,647,1959,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Nun's Story,['Drama'],Fred Zinnemann,['Unknown'],1959-06-18,7.4,12800000,15.068273812173887,16.36495580701484,2.657142857142857
3838,3500000,2.938973,35,6.366666666666666,805,1966,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Harper,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",Jack Smight,"['Paul Newman', 'Lauren Bacall', 'Julie Harris']",1966-02-23,6.2,12000000,15.068273812173887,16.300417291085605,2.4285714285714284
3839,3500000,10.219942,158,6.271936339522531,56,1972,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Frenzy,"['Crime', 'Drama', 'Mystery', 'Thriller']",Alfred Hitchcock,['Unknown'],1972-05-25,7.1,12600000,15.068273812173887,16.349207451286784,2.6
3841,0,0.593068,8,5.522222222222222,1403,1998,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Got the Hook Up,"['Action', 'Comedy']",Michael Martin,"['Master P', 'Anthony Johnson', 'Ice Cube']",1998-05-27,5.4,0,0.0,0.0,
3842,3500000,8.406025,70,5.8579365079365076,563,1996,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,She's the One,"['Comedy', 'Romance']",Edward Burns,"['Edward Burns', 'Michael McGlone', 'Cameron Diaz']",1996-08-26,5.7,9482579,15.068273812173887,16.06496698910333,1.7093082857142856
3843,10000000,5.588652,81,6.271936339522531,178,1998,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Gods and Monsters,['Drama'],Bill Condon,['Unknown'],1998-01-21,6.8,6451628,16.118095750958314,15.679843215024052,-0.3548372
3845,0,3.280081,36,5.166666666666667,698,2008,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Train,"['Horror', 'Thriller']",Gideon Raff,"['Thora Birch', 'Gideon Emery', 'Gloria Votsis']",2008-10-16,4.8,0,0.0,0.0,
3846,3600000,35.674774,742,6.271936339522531,1838,1987,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Evil Dead II,"['Horror', 'Comedy', 'Fantasy']",Sam Raimi,['Unknown'],1987-03-13,7.6,5923044,15.096444681204078,15.594361232731508,0.64529
3847,0,3.115754,43,6.271936339522531,1250,2001,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pootie Tang,"['Action', 'Comedy']",Louis C.K.,['Unknown'],2001-06-29,5.4,0,0.0,0.0,
3848,1000000,20.466433,476,4.1499999999999995,112,2013,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Sharknado,"['TV Movie', 'Horror']",Anthony C. Ferrante,"['Ian Ziering', 'Tara Reid', 'Cassandra Scerbo']",2013-07-11,3.8,0,13.815511557963774,0.0,-1.0
3849,0,0.015597,4,5.400000000000001,1831,1999,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,The Other Conquest,"['Drama', 'Foreign']",Salvador Carrasco,"['Damián Delgado', 'José Carlos Rodríguez', 'Elpidia Carrillo']",1999-04-01,5.4,0,0.0,0.0,
3850,3500000,12.982319,583,6.7,96,2010,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Troll Hunter,"['Fantasy', 'Horror']",André Øvredal,"['Otto Jespersen', 'Hans Morten Hansen', 'Tomas Alf Larsen']",2010-10-29,6.7,4159678,15.068273812173887,15.240948465798654,0.18847942857142858
3851,0,0.595136,9,5.8,1744,2006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ira & Abby,"['Comedy', 'Romance']",Robert Cary,"['Chris Messina', 'Jennifer Westfeldt', 'David Margulies']",2006-01-01,5.8,0,0.0,0.0,
3852,3500000,3.643608,28,6.271936339522531,10,2006,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter Passing,"['Comedy', 'Drama']",Adam Rapp,['Unknown'],2006-02-07,6.7,113783,15.068273812173887,11.642057193250064,-0.9674905714285714
3853,3500000,6.396936,90,5.528888888888889,104,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.E.B.S.,['Action'],Angela Robinson,"['Sara Foster', 'Meagan Good', 'Jordana Brewster']",2004-01-21,5.6,0,15.068273812173887,0.0,-1.0
3854,0,0.909067,7,2.9,2131,2016,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Masked Saint,"['Crime', 'Action']",Warren P. Sonoda,"['Brett Granstaff', 'Lara Jean Chorostecki', 'T.J. McGibbon']",2016-01-08,2.9,0,0.0,0.0,
3855,3500000,1.348114,10,5.391666666666667,64,2008,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,The Betrayed,"['Crime', 'Drama', 'Mystery', 'Thriller']",Amanda Gusack,"['Melissa George', 'Oded Fehr', 'Christian Campbell']",2008-09-27,5.2,0,15.068273812173887,0.0,-1.0
3856,0,0.964802,1,2.9666666666666663,137,1999,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Taxman,"['Action', 'Crime', 'Comedy', 'Thriller']",Avi Nesher,"['Joe Pantoliano', 'Wade Dominguez', 'Elizabeth Berkley']",1999-09-16,2.0,0,0.0,0.0,
3857,0,0.042346,0,6.271936339522531,1515,2016,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Secret,['Drama'],Nick Murphy ,['Unknown'],2016-04-29,0.0,0,0.0,0.0,
3858,3500000,1.271621,10,4.6,283,2009,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2:13,"['Horror', 'Thriller', 'Mystery']",Charles Adelman,"['Mark Thompson', 'Mark Pellegrino', 'Teri Polo']",2009-04-25,4.6,0,15.068273812173887,0.0,-1.0
3859,3500000,25.891466,419,6.271936339522531,877,2013,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Batman: The Dark Knight Returns, Part 2","['Action', 'Animation']",Jay Oliva,['Unknown'],2013-01-18,7.9,0,15.068273812173887,0.0,-1.0
3860,3500000,1.618138,0,1.7666666666666666,285,2015,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Time to Choose,['Documentary'],Charles Ferguson,"['Oscar Isaac', 'Jane Goodall', 'Jerry Brown']",2015-09-04,0.0,0,15.068273812173887,0.0,-1.0
3861,3500000,4.304341,19,3.7166666666666663,2100,2013,12,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,In the Name of the King III,"['Action', 'Adventure', 'Drama', 'Fantasy']",Uwe Boll,"['Dominic Purcell', 'Ralitsa Paskaleva', 'Bashar Rahal']",2013-12-27,3.3,0,15.068273812173887,0.0,-1.0
3862,3500000,3.158056,37,5.794444444444444,1322,2014,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Wicked Blood,"['Action', 'Drama', 'Thriller']",Mark Young,"['Abigail Breslin', 'James Purefoy', 'Sean Bean']",2014-03-04,5.3,0,15.068273812173887,0.0,-1.0
3863,0,3.230779,11,5.283333333333333,411,2015,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stranded,['Drama'],"Daniel Petrie, Jr.","['Scott Eastwood', 'Rita Wilson', 'Jeff Fahey']",2015-06-05,5.0,0,0.0,0.0,
3864,3440000,1.913302,6,4.126666666666667,123,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Lords of London,"['Crime', 'Mystery', 'Thriller']",Antonio Simoncini,"['Glen Murphy', 'Ray Winstone', 'Giovanni Capalbo']",2014-01-06,3.6,0,15.050982320047213,0.0,-1.0
3865,3400000,5.690619,84,6.183333333333334,1367,1977,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High Anxiety,"['Comedy', 'Music']",Mel Brooks,"['Mel Brooks', 'Madeline Kahn', 'Cloris Leachman']",1977-12-25,6.5,31063038,15.039286283703994,17.25152921378325,8.136187647058824
3866,8000000,17.537154,358,6.4444444444444455,1255,2005,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,March of the Penguins,"['Documentary', 'Family']",Luc Jacquet,"['Morgan Freeman', 'Charles Berling', 'Romane Bohringer']",2005-01-26,6.9,127392239,15.894952224644102,18.66278138872916,14.924029875
3868,0,1.419431,15,6.2,568,2011,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,August,['Drama'],Eldar Rapaport,"['Murray Bartlett', 'Daniel Dugan', 'Adrian Gonzalez']",2011-06-09,6.2,0,0.0,0.0,
3869,3000000,11.637458,127,6.271936339522531,349,2008,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Choke,"['Comedy', 'Drama']",Clark Gregg,['Unknown'],2008-09-26,6.0,3830137,14.914123179965662,15.158411391839309,0.27671233333333334
3870,3300000,192.528841,4254,6.271936339522531,387,2014,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Whiplash,['Drama'],Damien Chazelle,['Unknown'],2014-10-10,8.3,13092000,15.009433329466965,16.38751199098573,2.9672727272727273
3871,3300000,44.356711,1814,6.271936339522531,609,2002,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,City of God,"['Drama', 'Crime']",Fernando Meirelles,['Unknown'],2002-02-05,8.1,30641770,15.009433329466965,17.23787470142739,8.28538484848485
3872,600000,4.859873,97,6.271936339522531,1109,1999,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Human Traffic,"['Comedy', 'Drama']",Justin Kerrigan,['Unknown'],1999-06-04,6.8,4000000,13.304686600863562,15.201805169084134,5.666666666666667
3873,3400000,6.723057,47,6.271936339522531,1490,2015,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,To Write Love on Her Arms,"['Drama', 'Music']",Nathan Frankowski,['Unknown'],2015-03-13,6.8,0,15.039286283703994,0.0,-1.0
3874,0,3.069605,66,6.271936339522531,1122,2006,11,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,The Dead Girl,"['Mystery', 'Drama', 'Crime', 'Thriller']",Karen Moncrieff,['Unknown'],2006-11-07,6.4,0,0.0,0.0,
3875,3800000,21.826888,927,7.866666666666667,2016,2012,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Hunt,['Drama'],Thomas Vinterberg,"['Mads Mikkelsen', 'Alexandra Rapaport', 'Thomas Bo Larsen']",2012-08-28,7.9,16800000,15.150511887854474,16.636889503897294,3.4210526315789473
3876,0,15.128316,344,7.400000000000001,196,1983,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A Christmas Story,"['Comedy', 'Family']",Bob Clark,"['Melinda Dillon', 'Darren McGavin', 'Peter Billingsley']",1983-11-18,7.4,19294144,0.0,16.775312239974124,
3877,0,1.814802,37,6.55,39,2006,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Bella,"['Drama', 'Romance']",Alejandro Monteverde,"['Tammy Blanchard', 'Angélica Aragón', 'Ali Landry']",2006-09-09,6.7,0,0.0,0.0,
3878,4300000,5.643023,66,6.2,1310,1982,8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Class of 1984,"['Action', 'Drama', 'Horror', 'Crime', 'Thriller']",Mark L. Lester,"['Perry King', 'Merrie Lynn Ross', 'Tim Van Patten']",1982-08-20,6.2,0,15.274125813221904,0.0,-1.0
3879,3300000,2.964785,9,4.243333333333333,1067,2014,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Opposite Sex,['Comedy'],Jonathan Silverman,"['Mena Suvari', 'Eric Roberts', 'Kristin Chenoweth']",2014-11-08,4.1,45000,15.009433329466965,10.714439990727769,-0.9863636363636363
3880,2000000,0.11615,1,7.2250000000000005,591,1999,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Dreaming of Joseph Lees,"['Romance', 'Drama']",Eric Styles,"['Rupert Graves', 'Samantha Morton', 'Nicholas Woodeson']",1999-10-29,8.0,7,14.508658238524095,2.0794415416798357,-0.9999965
3881,0,13.437038,174,6.8,1209,2008,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Class,['Drama'],Laurent Cantet,"['François Bégaudeau', 'Franck Keïta', 'Esmeralda Ouertani']",2008-09-24,6.8,28814580,0.0,17.176392101709528,
3883,3200000,11.735287,265,6.271936339522531,983,1962,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,The Man Who Shot Liberty Valance,['Western'],John Ford,['Unknown'],1962-04-22,7.4,8000000,14.978661680269907,15.894952224644102,1.5
3884,0,8.308442,150,6.271936339522531,1363,2009,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Adam,"['Drama', 'Romance']",Max Mayer,['Unknown'],2009-07-29,6.9,2277396,0.0,14.638543682066127,
3885,0,3.027892,101,6.900000000000001,1090,2004,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Maria Full of Grace,"['Drama', 'Thriller', 'Crime']",Joshua Marston,"['Catalina Sandino Moreno', 'Guilied Lopez', 'Yenny Paola Vega']",2004-01-18,6.9,0,0.0,0.0,
3886,3200000,11.933449,347,6.271936339522531,1451,2010,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Beginners,"['Drama', 'Romance', 'Comedy']",Mike Mills,['Unknown'],2010-09-11,6.8,5332926,14.978661680269907,15.48941080113353,0.666539375
3888,2700000,17.332585,418,6.271936339522531,999,1978,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animal House,['Comedy'],John Landis,['Unknown'],1978-07-27,7.0,141000000,14.80876270134486,18.76427045543464,51.22222222222222
3889,2500000,47.812466,987,6.919999999999999,733,1964,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Goldfinger,"['Adventure', 'Action', 'Thriller']",Guy Hamilton,"['Sean Connery', 'Honor Blackman', 'Gert Fröbe']",1964-09-17,7.2,124881062,14.731801689838349,18.642872346306905,48.9524248
3890,2400000,11.753553,112,6.271936339522531,220,2012,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Antiviral,"['Science Fiction', 'Horror']",Brandon Cronenberg,['Unknown'],2012-09-19,5.7,0,14.690979711984754,0.0,-1.0
3891,3180000,42.868495,1076,6.271936339522531,624,1946,12,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,It's a Wonderful Life,"['Drama', 'Family', 'Fantasy']",Frank Capra,['Unknown'],1946-12-20,8.0,9644124,14.97239206922172,16.081859479625994,2.032743396226415
3892,4000000,63.513324,2655,6.271936339522531,417,1996,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Trainspotting,"['Drama', 'Crime']",Danny Boyle,['Unknown'],1996-02-23,7.8,16491080,15.201805169084134,16.6183302472689,3.12277
3893,0,1.918959,15,5.791666666666667,1910,2000,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Original Kings of Comedy,['Comedy'],Spike Lee,"['Steve Harvey', 'D. L. Hughley', 'Cedric the Entertainer']",2000-08-18,6.3,0,0.0,0.0,
3894,3000000,22.789649,722,5.7444444444444445,2037,2010,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Paranormal Activity 2,"['Horror', 'Thriller']",Tod Williams,"['Katie Featherston', 'David Bierend', 'Brian Boland']",2010-10-20,5.7,177512032,14.914123179965662,18.994548956131297,58.17067733333333
3895,0,5.735912,54,6.271936339522531,1182,1998,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Waking Ned,"['Comedy', 'Romance']",Kirk Jones,['Unknown'],1998-09-15,7.4,0,0.0,0.0,
3896,4000000,11.414843,453,7.277777777777779,1408,2002,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowling for Columbine,['Documentary'],Michael Moore,"['Michael Moore', 'George H. W. Bush', 'George W. Bush']",2002-10-09,7.3,35564473,15.201805169084134,17.38685777621893,7.89111825
3897,0,6.017273,49,6.900000000000001,2180,2014,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Coming Home,['Drama'],Zhang Yimou,"['Gong Li', 'Chen Dao-Ming', 'Guo Tao']",2014-05-16,6.9,0,0.0,0.0,
3898,3000000,21.607228,361,5.626666666666666,804,1985,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A Nightmare on Elm Street Part 2: Freddy's Revenge,['Horror'],Jack Sholder,"['Robert Englund', 'Mark Patton', 'Kim Myers']",1985-10-31,5.7,29999213,14.914123179965662,17.216681739283203,8.999737666666666
3899,3000000,7.961559,156,6.271936339522531,837,1985,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,A Room with a View,"['Drama', 'Romance']",James Ivory,['Unknown'],1985-12-13,6.9,20966644,14.914123179965662,16.858443399615698,5.9888813333333335
3900,3000000,54.403033,2428,6.412222222222223,828,2013,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,The Purge,"['Science Fiction', 'Horror', 'Thriller']",James DeMonaco,"['Lena Headey', 'Ethan Hawke', 'Max Burkholder']",2013-05-31,6.0,89328627,14.914123179965662,18.30783257677803,28.776209
3902,3000000,0.295226,1,5.4,1328,2002,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Martin Lawrence Live: Runteldat,['Comedy'],Martin Lawrence,['Martin Lawrence'],2002-08-01,5.0,19184015,14.914123179965662,16.76958799027744,5.3946716666666665
3903,3000000,16.553594,165,6.271936339522531,1694,1958,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Cat on a Hot Tin Roof,"['Drama', 'Romance']",Richard Brooks,['Unknown'],1958-02-17,7.6,17570324,14.914123179965662,16.68172195743102,4.8567746666666665
3904,3000000,24.393296,361,6.433333333333334,1999,1970,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Beneath the Planet of the Apes,"['Adventure', 'Science Fiction', 'Mystery']",Ted Post,"['James Franciscus', 'Kim Hunter', 'Maurice Evans']",1970-05-01,6.2,18999718,14.914123179965662,16.759934747547664,5.333239333333333
3905,3000000,11.241802,106,5.433333333333334,287,1997,8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Air Bud,"['Comedy', 'Family', 'Drama']",Charles Martin Smith,"['Kevin Zegers', 'Wendy Makkena', 'Michael Jeter']",1997-08-01,5.3,23144499,14.914123179965662,16.95726772927616,6.714833
3906,16000000,9.18885,137,5.900000000000001,1392,2000,7,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Pokémon: Spell of the Unknown,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",Michael Haigney,"['Veronica Taylor', 'Rachael Lillis', 'Eric Stuart']",2000-07-08,5.9,68411275,16.588099342704055,18.041048222807053,3.2757046875
3907,3000000,11.158167,216,5.7,2057,1986,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Friday the 13th Part VI: Jason Lives,"['Horror', 'Mystery', 'Thriller']",Tom McLoughlin,"['Thom Mathews', 'Jennifer Cooke', 'David Kagen']",1986-08-01,5.7,19472057,14.914123179965662,16.784491072841,5.490685666666667
3908,3000000,23.109959,542,7.566666666666666,468,1957,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,The Bridge on the River Kwai,"['Drama', 'History', 'War']",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins']",1957-10-02,7.7,33300000,14.914123179965662,17.3210679849807,10.1
3909,3000000,1.586598,25,4.7,1563,1990,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Spaced Invaders,"['Comedy', 'Family', 'Science Fiction']",Patrick Read Johnson,"['Ariana Richards', 'Douglas Barr', 'Royal Dano']",1990-04-27,4.7,15369573,14.914123179965662,16.54790039880016,4.123191
3910,2000000,3.832858,86,6.383333333333333,56,1976,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Family Plot,"['Comedy', 'Crime', 'Thriller']",Alfred Hitchcock,"['Barbara Harris', 'Bruce Dern', 'Karen Black']",1976-04-09,6.7,7900000,14.508658238524095,15.882373444019521,2.95
3911,3000000,22.889294,483,7.575,189,1960,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Apartment,"['Comedy', 'Drama', 'Romance']",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",1960-06-15,8.1,25000000,14.914123179965662,17.034386422832473,7.333333333333333
3912,3000000,10.341982,193,6.271936339522531,8,1993,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Jason Goes to Hell: The Final Friday,"['Fantasy', 'Horror', 'Thriller']",Adam Marcus,['Unknown'],1993-08-13,4.2,15938065,14.914123179965662,16.58422089397781,4.312688333333333
3913,3000000,7.924982,120,6.271936339522531,56,1966,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Torn Curtain,"['Mystery', 'Thriller']",Alfred Hitchcock,['Unknown'],1966-07-13,6.4,13000000,14.914123179965662,16.380459992348886,3.3333333333333335
3914,3000000,1.697846,28,6.271936339522531,1428,2005,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Dave Chappelle's Block Party,"['Comedy', 'Documentary', 'Music']",Michel Gondry,['Unknown'],2005-09-12,6.4,11718595,14.914123179965662,16.276687539715276,2.906198333333333
3916,3000000,0.720091,11,7.0,1418,1985,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Krush Groove,"['Drama', 'Music', 'Romance']",Michael Schultz,"['Blair Underwood', 'Joseph Simmons', 'Darryl McDaniels']",1985-10-25,7.0,0,14.914123179965662,0.0,-1.0
3917,0,2.747402,36,5.300000000000001,169,2009,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Next Day Air,"['Action', 'Comedy', 'Crime']",Benny Boom,"['Donald Faison', 'Mike Epps', 'Wood Harris']",2009-02-06,5.3,0,0.0,0.0,
3918,3000000,6.734965,41,7.3,1694,1960,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Elmer Gantry,['Drama'],Richard Brooks,"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy']",1960-06-19,7.3,10400000,14.914123179965662,16.15731646026544,2.466666666666667
3919,3000000,13.338539,155,6.271936339522531,1913,1961,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Judgment at Nuremberg,"['Drama', 'History']",Stanley Kramer,['Unknown'],1961-12-01,7.6,10000000,14.914123179965662,16.118095750958314,2.3333333333333335
3920,0,0.185373,4,4.833333333333333,481,1999,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Trippin',"['Comedy', 'Romance']",David Raynr,"['Deon Richmond', 'Donald Faison', 'Guy Torry']",1999-05-12,4.5,9016377,0.0,16.01455325928874,
3921,3000000,5.344815,82,6.271936339522531,772,1948,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red River,['Western'],Howard Hawks,['Unknown'],1948-08-26,7.3,9012000,14.914123179965662,16.014067691497427,2.004
3922,0,0.982624,10,6.271936339522531,1529,2006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Phat Girlz,"['Comedy', 'Romance']",Nnegest Likké,['Unknown'],2006-01-01,3.7,0,0.0,0.0,
3923,3000000,23.299907,568,7.0566666666666675,1707,2013,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Before Midnight,"['Romance', 'Drama']",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick']",2013-04-05,7.4,11176469,14.914123179965662,16.229321233436963,2.725489666666667
3924,0,4.103764,46,4.438888888888889,337,1987,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Teen Wolf Too,"['Comedy', 'Fantasy', 'Family']",Christopher Leitch,"['Jason Bateman', 'Kim Darby', 'John Astin']",1987-11-20,3.8,0,0.0,0.0,
